timestamp,ltp,prev_day_close,change,change_perc
2024-12-29 22:54:45,100.35,100.35,0.0,0.0
2024-12-29 23:00:51,100.35,100.35,0.0,0.0
2024-12-30 00:12:51,100.35,100.35,0.0,0.0
2024-12-30 00:16:00,100.35,100.35,0.0,0.0
2024-12-30 00:19:24,100.35,100.35,0.0,0.0
2024-12-30 00:22:27,100.35,100.35,0.0,0.0
2024-12-30 00:31:52,100.35,100.35,0.0,0.0
2024-12-30 00:37:29,100.35,100.35,0.0,0.0
2024-12-30 00:51:05,100.35,100.35,0.0,0.0
2024-12-30 01:22:14,100.35,100.35,0.0,0.0
2024-12-30 01:23:14,100.35,100.35,0.0,0.0
