timestamp,ltp,prev_day_close,change,change_perc
2024-12-29 22:54:45,8209.85,8209.85,0.0,0.0
2024-12-29 23:00:52,8209.85,8209.85,0.0,0.0
2024-12-30 00:12:52,8209.85,8209.85,0.0,0.0
2024-12-30 00:16:01,8209.85,8209.85,0.0,0.0
2024-12-30 00:19:25,8209.85,8209.85,0.0,0.0
2024-12-30 00:22:28,8209.85,8209.85,0.0,0.0
2024-12-30 00:31:53,8209.85,8209.85,0.0,0.0
2024-12-30 00:37:30,8209.85,8209.85,0.0,0.0
2024-12-30 00:51:06,8209.85,8209.85,0.0,0.0
2024-12-30 01:22:16,8209.85,8209.85,0.0,0.0
2024-12-30 01:23:16,8209.85,8209.85,0.0,0.0
