timestamp,ltp,prev_day_close,change,change_perc
2024-12-29 22:54:45,1383.0,1383.0,0.0,0.0
2024-12-29 23:00:50,1383.0,1383.0,0.0,0.0
2024-12-30 00:12:50,1383.0,1383.0,0.0,0.0
2024-12-30 00:15:59,1383.0,1383.0,0.0,0.0
2024-12-30 00:19:23,1383.0,1383.0,0.0,0.0
2024-12-30 00:22:23,1383.0,1383.0,0.0,0.0
2024-12-30 00:31:50,1383.0,1383.0,0.0,0.0
2024-12-30 00:37:28,1383.0,1383.0,0.0,0.0
2024-12-30 00:51:03,1383.0,1383.0,0.0,0.0
2024-12-30 01:22:10,1383.0,1383.0,0.0,0.0
2024-12-30 01:23:12,1383.0,1383.0,0.0,0.0
